dyad_id,endpoint_a_actor_id,endpoint_b_actor_id,terminal_status,proposal_count,channels,valid_proposal_count,fully_authorizing_proposal_count,authorizing_proposal_id,authorizing_endpoint_a_occurrence_id,authorizing_endpoint_b_occurrence_id,authorizing_endpoint_a_authority,authorizing_endpoint_b_authority,authorizing_endpoint_a_reason,authorizing_endpoint_b_reason,edge_probability_p,selected_k,imputed_amount_hs,expected_contribution_hs
DYAD-a007e0f7c92bf224,ACT-AURELIUS,ACT-DOLABELLA,surviving_candidate,1,financial_shared_neighbor,1,1,54fca475ea478657fc0041847e47302b9f6756db4385a3a684f392993ee3d3c7,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0028-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.518708785675,5,362500,188031.934807187499
DYAD-1159b6f04003eae9,ACT-AURELIUS,ACT-EROS,surviving_candidate,1,financial_shared_neighbor,1,1,58ec175a8afa8dc49cb10b6590ba340d37f754d765b0f3e92e35b399e5d4c89d,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0029-THIRD_PARTY-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.554788816091,5,362500,201110.945832987491
DYAD-a92c398b78512eef,ACT-AURELIUS,ACT-FABERIUS,surviving_candidate,2,financial_shared_neighbor,2,2,036b90f102e656cb05d3a3fd127e683723ac21406e2137ab8d483d3dc6040989,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0026-THIRD_PARTY-03,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.476497856039,5,362500,172730.472814137494
DYAD-588d83c873ec9f38,ACT-AURELIUS,ACT-FLAMMA,surviving_candidate,2,financial_shared_neighbor,2,2,72fc46e1a586083fa6c46a9c86ffe44aea65231029b873ce25b83ccc4ff5c473,OCC-FAM-PILOT-0004-LENDER-02,OCC-FAM-PILOT-0005-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.518708785675,5,362500,188031.934807187499
DYAD-d273c86eb855fac9,ACT-AURELIUS,ACT-HERMOGENES,surviving_candidate,1,financial_shared_neighbor,1,1,f944e512be36987b377ad0253ddc3f924ed4a56a29f21c220a8f8711e297d3f9,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0012-THIRD_PARTY-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.554788816091,5,362500,201110.945832987491
DYAD-fbd81f721515e8d9,ACT-AURELIUS,ACT-HORTENSIUS,surviving_candidate,1,financial_shared_neighbor,1,1,b2a9854f7facfcce537af3c516374cd1e6bea7b1805397ca1fb15614159c090d,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0029-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.518708785675,5,362500,188031.934807187499
DYAD-86fbbb05645c6b8d,ACT-AURELIUS,ACT-IUNIUS,surviving_candidate,1,financial_shared_neighbor,1,1,bb906822542fdfe3bedcadbf6116f2ee0128ef5771dd9f122e57787036842b50,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0025-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.492119044622,5,362500,178393.153675475012
DYAD-199b2c567b187fd9,ACT-AURELIUS,ACT-METON,surviving_candidate,1,financial_shared_neighbor,1,1,09e83ab9c792e10a89c2dacbaacdf447a4f0c492ac3b8ed07c945fcb701c9685,OCC-FAM-PILOT-0004-LENDER-02,OCC-ATT-PILOT-0026-THIRD_PARTY-02,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.554788816091,5,362500,201110.945832987491
DYAD-9bce41fa202635f2,ACT-AURELIUS,ACT-OFILLIUS,surviving_candidate,3,financial_shared_neighbor;within_component,3,3,082c9f5c1eb2b70db3dac7ceabd88d62a59756e51b2fb44c5b6b728d6f954b87,OCC-FAM-PILOT-0004-LENDER-02,OCC-FAM-PILOT-0004-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.518708785675,5,362500,188031.934807187499
DYAD-bf531e6c66dcc842,ACT-AURELIUS,ACT-PATULCIUS,surviving_candidate,1,financial_shared_neighbor,1,1,3df12192e887c17a0d90852056fe7491a27d096aa71c2c8dfa94a9f4ed038e41,OCC-FAM-PILOT-0004-LENDER-02,OCC-SEC-STAGED-0076-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.518708785675,5,362500,188031.934807187499
